depth,task_type,alpha_mean,alpha_std,count
1,chat,0.5670574755074617,0.4464254761490104,6148
1,code,0.5325724228754887,0.4622323964648321,6400
1,math,0.5101979846487801,0.45578931212467505,6348
1,reasoning,0.5258731146850784,0.45916740634925646,6046
2,chat,0.5525702693392838,0.4413672886180623,12296
2,code,0.5382786934419294,0.44722008489435233,12800
2,math,0.5186380567926402,0.4463642234346674,12696
2,reasoning,0.5322930736978753,0.447046875180985,12092
3,chat,0.5878386477488718,0.4360818035061217,6148
3,code,0.5438418738985221,0.4576544070419052,6400
3,math,0.5250895855288903,0.4516164210292939,6348
3,reasoning,0.538028399538794,0.4534905360645399,6046
