depth,task_type,position_bin,alpha_mean,alpha_std,count
1,chat,0,0.5517902594611367,0.4476778294250599,3076
1,chat,1,0.5823445707413469,0.44471583214141874,3072
1,code,0,0.5068936521318469,0.4651547465576,3200
1,code,1,0.5582511936191303,0.45792599499700176,3200
1,math,0,0.4984012454801556,0.45762818688265505,3200
1,math,1,0.5221895873614859,0.45367074495531046,3148
1,reasoning,0,0.5250794935991865,0.4601766062371332,3196
1,reasoning,1,0.5267630841554328,0.45811213848360977,2850
2,chat,0,0.5602467415473583,0.43787534798408406,6152
2,chat,1,0.5448838017246882,0.44473919401902484,6144
2,code,0,0.5236630665089704,0.4465987460812259,6400
2,code,1,0.5528943203748884,0.44739817231215195,6400
2,math,0,0.5287762717643779,0.4461717188254947,6400
2,math,1,0.5083323744833769,0.44635927765135924,6296
2,reasoning,0,0.5366906209960005,0.44787694885314044,6392
2,reasoning,1,0.527361648727767,0.4461019050289545,5700
3,chat,0,0.5834125278547011,0.4348212606553549,3076
3,chat,1,0.5922705308199882,0.43736624590639644,3072
3,code,0,0.5232785136936484,0.4581891716474594,3200
3,code,1,0.5644052341033958,0.45626450710695843,3200
3,math,0,0.519799766028516,0.4515466160564572,3200
3,math,1,0.5304667845127525,0.45169559655686975,3148
3,reasoning,0,0.5400829372701773,0.45370337391119797,3196
3,reasoning,1,0.5357244337179164,0.4533202739725091,2850
